,Category,specialty,tool,trait,environment
10,technical writing,[],"[['python', 5], ['java', 5], ['javascript', 5], ['html', 5], ['css', 5], ['r', 5], ['web', 5], ['cs', 5], ['c', 5]]","[['management', 5]]","[['changing environment', 5]]"
11,technical infrastructure,"[['computer science', 6], ['mba', 1], ['engineering', 6], ['business', 2], ['customer service', 1], ['media', 1], ['systems engineering', 1], ['mathematics', 2], ['economics', 1], ['security', 2], ['networking', 3], ['distributed systems', 2], ['architecture', 1], ['information systems', 1], ['load balance', 1], ['physics', 2], ['financial modeling', 1], ['software development', 2], ['hr', 1], ['supply chain', 2], ['automation', 1], ['optimization', 1], ['chain management', 1], ['data structures', 1], ['science', 7], ['virtualization', 1]]","[['python', 3], ['java', 3], ['javascript', 1], ['html', 1], ['r', 11], ['web', 2], ['enterprise software', 1], ['erp', 2], ['ruby', 2], ['c#', 1], ['linux', 4], ['html5', 1], ['cs', 5], ['firewalls', 2], ['perl', 2], ['c', 11], ['sap', 1], ['apis', 1], ['ux', 4], ['tcp', 1]]","[['analytical', 2], ['project management', 2], ['communication', 7], ['management', 7], ['problem-solving', 3], ['strategic ', 1], ['responsibility', 1], ['proactive', 1]]","[['team', 4]]"
12,it & data management,"[['finance', 2], ['business', 2], ['customer service', 2], ['accounting', 2], ['security', 2], ['software development', 2]]","[['python', 5], ['r', 5], ['erp', 5], ['linux', 5], ['cs', 5], ['perl', 2], ['c', 5], ['sap', 2], ['ux', 5], ['oracle', 2]]","[['analytical', 5], ['flexibility', 3], ['communication', 5], ['management', 2], ['leadership', 2], ['agile', 2], ['team player', 3]]","[['team', 3]]"
13,marketing & communications,"[['computer science', 9], ['marketing', 108], ['consulting', 52], ['sales', 54], ['mba', 19], ['engineering', 15], ['statistics', 5], ['advertising', 54], ['finance', 2], ['business', 44], ['customer service', 32], ['media', 43], ['mathematics', 2], ['data analysis', 6], ['economics', 2], ['security', 2], ['investment banking', 2], ['corporate strategy', 3], ['online advertising', 14], ['advertising sales', 1], ['psychology', 2], ['experiment design', 1], ['networking', 1], ['digital marketing', 13], ['architecture', 2], ['consumer electronics', 3], ['graphic design', 4], ['data science', 1], ['consultative sales', 1], ['survey design', 2], ['information science', 1], ['software development', 1], ['statistical modeling', 1], ['hr', 55], ['automation', 2], ['optimization', 5], ['digital media', 5], ['econometrics', 1], ['market research', 3], ['science', 13]]","[['python', 8], ['java', 8], ['javascript', 5], ['sql', 9], ['html', 2], ['saas', 6], ['css', 2], ['google cloud', 1], ['cloud computing', 3], ['hci', 1], ['android', 2], ['mobile', 8], ['database', 6], ['php', 5], ['matlab', 1], ['r', 165], ['web', 20], ['enterprise software', 9], ['ios', 1], ['erp', 31], ['crm systems', 4], ['apps', 4], ['stata', 1], ['sps', 2], ['sas', 5], ['cs', 47], ['adwords', 1], ['tableau', 3], ['spreadsheet software', 3], ['crm', 5], ['illustrator', 1], ['spss', 1], ['ajax', 2], ['c', 165], ['hadoop', 1], ['dsps', 1], ['spark', 2], ['apis', 2], ['ux', 1], ['photoshop', 1]]","[['analytical', 46], ['project management', 23], ['flexibility', 1], ['interpersonal skills', 6], ['communication', 79], ['management', 62], ['critical thinking', 1], ['problem-solving', 13], ['accountability', 13], ['self-motivated', 2], ['strategic ', 24], ['responsibility', 2], ['leadership', 30], ['business intelligence', 3], ['creativity', 6], ['agile', 1], ['advisory', 1], ['presentation', 19], ['diplomacy', 4], ['budget management', 9], ['experience planning', 7], ['proactive', 4], ['team player', 10]]","[['changing environment', 1], ['team', 65], ['fast-paced environment', 15], ['cross-functional teams', 5], ['mentoring', 1]]"
14,network engineering,"[['computer science', 2], ['business', 1], ['security', 2], ['networking', 1], ['architecture', 2], ['automation', 1], ['science', 2]]","[['python', 5], ['java', 2], ['android', 2], ['r', 6], ['http', 2], ['erp', 2], ['linux', 3], ['c', 6], ['apis', 2], ['ux', 3], ['tcp', 4]]","[['analytical', 2], ['project management', 2], ['communication', 3], ['management', 4], ['problem-solving', 2], ['strategic ', 2]]",[]
15,sales & account management,"[['computer science', 20], ['marketing', 75], ['consulting', 42], ['sales', 130], ['mba', 23], ['engineering', 31], ['statistics', 2], ['advertising', 63], ['finance', 3], ['business', 88], ['customer service', 3], ['media', 42], ['big data', 12], ['systems engineering', 1], ['mathematics', 1], ['data analysis', 3], ['economics', 7], ['technical sales', 1], ['accounting', 1], ['online advertising', 13], ['advertising sales', 26], ['networking', 3], ['distributed systems', 1], ['digital marketing', 13], ['architecture', 2], ['consumer electronics', 2], ['consultative sales', 20], ['information systems', 8], ['physics', 1], ['pipeline development', 5], ['financial modeling', 7], ['statistical modeling', 1], ['hr', 20], ['optimization', 2], ['field sales', 9], ['digital media', 6], ['science', 25]]","[['python', 4], ['java', 10], ['javascript', 10], ['sql', 7], ['html', 8], ['iaas', 42], ['saas', 17], ['css', 5], ['google cloud', 24], ['cloud computing', 26], ['android', 1], ['mobile', 26], ['database', 8], ['r', 168], ['http', 3], ['web', 9], ['enterprise software', 5], ['g suite', 13], ['ios', 2], ['erp', 37], ['ruby', 2], ['c#', 2], ['crm systems', 6], ['apps', 8], ['isvs', 5], ['sps', 10], ['cs', 30], ['adwords', 17], ['spreadsheet software', 3], ['middleware', 5], ['crm', 19], ['nodejs', 2], ['c', 168], ['dsps', 5], ['apis', 3], ['ux', 5]]","[['analytical', 76], ['project management', 42], ['flexibility', 20], ['interpersonal skills', 16], ['communication', 68], ['management', 113], ['business judgement', 5], ['problem-solving', 10], ['influential relationships', 15], ['accountability', 1], ['self-motivated', 17], ['strategic ', 60], ['leadership', 17], ['business intelligence', 12], ['creativity', 4], ['agile', 6], ['presentation', 49], ['sales strategy', 10], ['customer relation', 9], ['experience planning', 1], ['proactive', 11]]","[['changing environment', 1], ['team', 60], ['fast-paced environment', 14], ['cross-functional teams', 9], ['mentoring', 4], ['high energy', 6]]"
16,sales operations,"[['computer science', 19], ['marketing', 9], ['consulting', 9], ['sales', 28], ['engineering', 20], ['statistics', 4], ['advertising', 7], ['finance', 1], ['business', 24], ['customer service', 4], ['media', 10], ['big data', 9], ['systems engineering', 7], ['mathematics', 4], ['data analysis', 1], ['economics', 2], ['technical sales', 4], ['machine learning', 1], ['investment banking', 1], ['online advertising', 2], ['advertising sales', 4], ['networking', 4], ['digital marketing', 1], ['architecture', 4], ['consultative sales', 1], ['information systems', 8], ['physics', 1], ['data mining', 1], ['financial modeling', 3], ['software development', 3], ['statistical modeling', 2], ['hr', 1], ['optimization', 1], ['field sales', 8], ['digital media', 4], ['econometrics', 2], ['science', 20]]","[['python', 8], ['java', 3], ['javascript', 3], ['sql', 6], ['html', 3], ['iaas', 17], ['saas', 1], ['cloud computing', 9], ['mobile', 3], ['database', 2], ['php', 3], ['xml', 3], ['r', 31], ['http', 3], ['web', 9], ['enterprise software', 8], ['ios', 1], ['erp', 14], ['crm systems', 9], ['linux', 3], ['sas', 6], ['cs', 16], ['adwords', 3], ['firewalls', 3], ['tableau', 1], ['spreadsheet software', 1], ['crm', 10], ['flash', 3], ['ajax', 3], ['c', 31], ['dns', 3], ['soap', 3], ['sap', 4], ['ux', 3], ['tcp', 3]]","[['analytical', 15], ['project management', 5], ['flexibility', 8], ['interpersonal skills', 1], ['communication', 15], ['management', 14], ['problem-solving', 2], ['influential relationships', 8], ['strategic ', 12], ['leadership', 4], ['business intelligence', 2], ['agile', 1], ['presentation', 13], ['sales strategy', 8], ['customer relation', 1]]","[['team', 16], ['fast-paced environment', 1], ['competitive dynamic', 4]]"
17,finance,"[['computer science', 3], ['marketing', 3], ['consulting', 14], ['sales', 3], ['mba', 19], ['engineering', 13], ['statistics', 6], ['advertising', 3], ['finance', 30], ['business', 87], ['customer service', 4], ['media', 4], ['systems engineering', 2], ['mathematics', 1], ['data analysis', 1], ['business administration', 3], ['economics', 4], ['technical sales', 2], ['accounting', 47], ['machine learning', 2], ['electrical engineering', 1], ['security', 6], ['investment banking', 5], ['corporate strategy', 4], ['digital marketing', 3], ['architecture', 3], ['information systems', 5], ['data mining', 1], ['financial modeling', 2], ['software development', 3], ['hr', 12], ['supply chain', 6], ['automation', 5], ['chain management', 1], ['science', 4]]","[['python', 6], ['java', 2], ['javascript', 1], ['sql', 15], ['iaas', 2], ['saas', 3], ['google cloud', 2], ['cloud computing', 2], ['mobile', 3], ['database', 6], ['matlab', 3], ['r', 115], ['web', 3], ['g suite', 2], ['erp', 64], ['apps', 1], ['sps', 1], ['cs', 12], ['tableau', 1], ['spreadsheet software', 6], ['spss', 1], ['c', 115], ['hadoop', 1], ['cpa', 31], ['oracle', 16]]","[['analytical', 77], ['project management', 17], ['flexibility', 6], ['interpersonal skills', 10], ['communication', 40], ['management', 50], ['problem-solving', 1], ['accountability', 5], ['self-motivated', 5], ['strategic ', 9], ['responsibility', 1], ['leadership', 18], ['business intelligence', 2], ['creativity', 1], ['agile', 1], ['presentation', 10], ['proactive', 1], ['team player', 4]]","[['changing environment', 2], ['team', 30], ['fast-paced environment', 20], ['cross-functional teams', 3], ['mentoring', 1]]"
18,legal & government relations,"[['marketing', 2], ['consulting', 6], ['sales', 6], ['mba', 2], ['engineering', 1], ['advertising', 1], ['finance', 2], ['business', 12], ['customer service', 2], ['media', 8], ['data analysis', 1], ['accounting', 1], ['networking', 1], ['architecture', 4], ['hr', 7], ['science', 1]]","[['python', 1], ['java', 1], ['javascript', 1], ['sql', 3], ['saas', 2], ['google cloud', 2], ['cloud computing', 5], ['mobile', 2], ['database', 3], ['r', 46], ['web', 2], ['enterprise software', 2], ['g suite', 1], ['erp', 15], ['sps', 1], ['cs', 3], ['spreadsheet software', 1], ['middleware', 2], ['c', 46], ['cpa', 1], ['dsps', 1], ['oracle', 1]]","[['analytical', 14], ['project management', 2], ['flexibility', 9], ['interpersonal skills', 8], ['communication', 19], ['management', 9], ['strategic ', 3], ['leadership', 8], ['presentation', 5], ['sales strategy', 2], ['diplomacy', 2], ['proactive', 1], ['team player', 2]]","[['team', 20], ['fast-paced environment', 10], ['cross-functional teams', 3], ['deadline pressure', 5]]"
19,administrative,"[['computer science', 2], ['marketing', 31], ['consulting', 31], ['sales', 30], ['mba', 30], ['engineering', 1], ['advertising', 30], ['finance', 30], ['business', 34], ['customer service', 31], ['systems engineering', 1], ['business administration', 28], ['technical sales', 28], ['security', 1], ['networking', 1], ['hr', 3], ['science', 2]]","[['python', 3], ['java', 3], ['javascript', 2], ['sql', 3], ['html', 3], ['google cloud', 1], ['database', 1], ['xml', 3], ['r', 40], ['web', 3], ['erp', 30], ['linux', 1], ['html5', 3], ['cs', 1], ['flash', 2], ['ajax', 1], ['c', 40], ['json', 1], ['ux', 1]]","[['analytical', 4], ['project management', 32], ['communication', 33], ['management', 38], ['critical thinking', 2], ['problem-solving', 28], ['strategic ', 28], ['presentation', 3], ['budget management', 1], ['proactive', 1]]","[['changing environment', 30], ['team', 3], ['fast-paced environment', 1], ['cross-functional teams', 1]]"
20,user experience & design,"[['computer science', 52], ['marketing', 2], ['engineering', 20], ['statistics', 22], ['advertising', 12], ['business', 1], ['human-computer interaction', 36], ['data analysis', 1], ['economics', 1], ['product design', 22], ['psychology', 24], ['experiment design', 11], ['architecture', 1], ['consumer electronics', 1], ['graphic design', 8], ['data science', 7], ['survey design', 10], ['information science', 13], ['anthropology', 14], ['physics', 4], ['software development', 10], ['hr', 14], ['science', 62]]","[['python', 15], ['java', 28], ['javascript', 23], ['sql', 7], ['html', 26], ['css', 22], ['hci', 27], ['android', 13], ['mobile', 47], ['user research', 22], ['php', 5], ['matlab', 3], ['r', 84], ['web', 39], ['ios', 5], ['erp', 32], ['ruby', 4], ['apps', 9], ['stata', 1], ['sps', 4], ['sas', 4], ['html5', 8], ['cs', 55], ['flash', 1], ['illustrator', 13], ['perl', 4], ['spss', 4], ['c', 84], ['qualtrics', 9], ['css3', 8], ['ux', 25], ['framer studio', 7], ['quartz', 7], ['photoshop', 16]]","[['analytical', 25], ['project management', 10], ['interpersonal skills', 6], ['communication', 63], ['management', 12], ['problem-solving', 8], ['self-motivated', 6], ['strategic ', 3], ['leadership', 15], ['presentation', 9], ['proactive', 4]]","[['changing environment', 5], ['team', 31], ['fast-paced environment', 1], ['cross-functional teams', 1], ['mentoring', 1]]"
21,people operations,"[['computer science', 2], ['marketing', 3], ['consulting', 36], ['sales', 1], ['mba', 10], ['engineering', 4], ['statistics', 5], ['finance', 3], ['business', 44], ['customer service', 13], ['media', 4], ['mathematics', 3], ['data analysis', 4], ['business administration', 5], ['economics', 3], ['investment banking', 1], ['psychology', 2], ['physics', 1], ['hr', 37], ['supply chain', 3], ['automation', 1], ['optimization', 1], ['chain management', 1], ['data structures', 1], ['market research', 2], ['science', 3]]","[['python', 5], ['java', 3], ['javascript', 2], ['sql', 11], ['html', 1], ['database', 4], ['r', 86], ['web', 8], ['erp', 29], ['apps', 1], ['cs', 29], ['spreadsheet software', 3], ['c', 86], ['apis', 1]]","[['analytical', 34], ['project management', 18], ['interpersonal skills', 17], ['communication', 61], ['management', 52], ['critical thinking', 1], ['problem-solving', 6], ['accountability', 18], ['productive relationships', 23], ['strategic ', 2], ['responsibility', 3], ['leadership', 11], ['business intelligence', 1], ['creativity', 8], ['agile', 1], ['presentation', 7], ['integrity', 20], ['diplomacy', 2], ['customer relation', 11], ['budget management', 1], ['team player', 6]]","[['changing environment', 5], ['team', 62], ['fast-paced environment', 1], ['cross-functional teams', 7], ['corporate setting', 12], ['mentoring', 4]]"
22,real estate & workplace services,"[['marketing', 1], ['consulting', 1], ['mba', 2], ['engineering', 3], ['finance', 2], ['business', 4], ['customer service', 1], ['security', 12], ['architecture', 2], ['hr', 6], ['supply chain', 3]]","[['r', 25], ['ios', 1], ['erp', 1], ['cs', 2], ['c', 25], ['cctv', 9]]","[['analytical', 6], ['project management', 5], ['communication', 12], ['management', 21], ['problem-solving', 1], ['strategic ', 5], ['leadership', 3], ['presentation', 10], ['diplomacy', 7]]","[['team', 8], ['fast-paced environment', 7], ['cross-functional teams', 2]]"
